subject_id,session_id,run_id,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,m_tsnr,outlier,qc_type,quality,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_fg,summary_p05_bg,summary_p05_fg,summary_p95_bg,summary_p95_fg,summary_stdv_bg,summary_stdv_fg
sub-3,0,task-objectviewing_run-10,20.929354008,1.24319465633,1.011431622,0.505377560054,65.4156570435,0.0817817012417,0,0.0,15.041,14.9714,16.5359,13.7447,0.0145223909173,0.0610689148307,0.0240009427071,64.0216369629,0.00541181818182,func,0.00479276380165,121,40,64,64,2.67451281779,2.5,3.5,3.75,3.75,66.8894577026,768.640686035,4.66942119598,225.712387085,230.857836914,1160.88427734,79.063331604,316.168304443
sub-3,0,task-objectviewing_run-11,17.6245985426,1.15869950225,1.00033194175,0.507519389295,58.123008728,0.079350157975,0,0.0,9.15234,9.29733,9.97632,8.26548,0.0253044790473,0.0317870117724,0.00071088806726,83.4007263184,0.00201520661157,func,0.00438091570248,121,40,64,64,4.50694775561,2.5,3.5,3.75,3.75,80.1530456543,901.719604492,7.82644605637,460.651226807,292.49173584,1173.1619751,93.7132415771,210.500274658
sub-3,0,task-objectviewing_run-12,18.3280962308,1.31742705442,1.04214771442,0.50795181415,66.3652114868,0.10872496399,0,0.0,16.1587,15.908,17.7981,14.9016,0.0137422557705,0.0608017295599,0.0269851237535,76.8089904785,0.00406504132231,func,0.00356655049587,121,40,64,64,2.63227713967,2.5,3.5,3.75,3.75,68.4605560303,759.561340332,8.39669418335,218.363218689,227.429748535,1154.34205322,77.0345458984,318.475311279
sub-4,0,task-objectviewing_run-01,28.2069165388,1.222069198,1.04374175083,0.524988841027,60.8629264832,0.077637920235,0,0.0,8.50684,8.72194,9.43723,7.47905,0.0374380143221,0.0191296935081,0.014196543023,80.1061401367,0.00962446280992,func,0.00429878181818,121,40,64,64,4.93565952231,2.5,3.5,3.75,3.75,148.968963623,1664.22131348,6.59504127502,947.918981934,499.923117065,2161.36674805,160.638793945,352.512817383
sub-4,0,task-objectviewing_run-02,22.623379596,1.11595331133,0.990391017417,0.523532019374,60.3621139526,0.0496292578156,0,0.0,8.33771,8.5244,9.00338,7.55215,0.0267429824703,0.017565805465,0.0139824803919,102.329147339,0.00202429752066,func,0.00291389404959,121,40,64,64,4.8955448563,2.5,3.5,3.75,3.75,149.727035522,1661.06433105,9.5867767334,948.024768066,505.029328918,2164.35366211,162.358764648,353.690124512
sub-4,0,task-objectviewing_run-03,25.6635021211,1.082073716,0.979540717333,0.521298962957,60.385848999,0.0552691281627,0,0.0,7.86928,8.25548,8.42113,7.00958,0.0379060083184,0.0167118106037,0.01303037256,77.0440597534,0.00399272727273,func,0.00466397512397,121,40,64,64,4.85135944239,2.5,3.5,3.75,3.75,146.688110352,1666.2800293,8.0247926712,955.703665161,506.013615417,2183.90644531,163.896850586,357.388000488
sub-4,0,task-objectviewing_run-04,24.8151324752,1.09993014408,0.998947347333,0.520893815831,60.0599937439,0.0545867800092,0,0.0,7.60252,7.9935,8.14635,6.74795,0.0279425037794,0.0150605365634,0.0134860351682,86.0214767456,0.0029773553719,func,0.00354346942149,121,40,64,64,4.83483805619,2.5,3.5,3.75,3.75,146.19543457,1671.84680176,10.6363630295,964.804107666,506.476829529,2195.08757324,165.270355225,358.884063721
sub-4,0,task-objectviewing_run-05,21.9162779487,1.074704879,0.991902482,0.521294692962,60.6370162964,0.0586559974087,0,0.0,7.81539,8.16818,8.40806,6.95073,0.0173451112322,0.015486526303,0.0137171307579,98.4628448486,0.00175123966942,func,0.00308405347107,121,40,64,64,4.81487503008,2.5,3.5,3.75,3.75,147.237014771,1663.15539551,8.09917354584,950.012771606,502.45947876,2182.40478516,163.212356567,358.109527588
sub-4,0,task-objectviewing_run-06,24.2387298906,1.12073850367,1.00677829892,0.52169160151,60.8019943237,0.0666124668964,0,0.0,7.91958,8.37713,8.43025,7.03349,0.0303814746132,0.0165562555194,0.0130081409588,95.9005432129,0.0029758677686,func,0.00291886950413,121,40,64,64,4.80730983829,2.5,3.5,3.75,3.75,148.066421509,1658.0838623,5.149173522,951.226004028,498.606584167,2176.52553711,162.13760376,357.244995117
sub-4,0,task-objectviewing_run-07,23.7590929025,1.116219656,1.01755630367,0.520375840381,60.9066009521,0.058648820945,0,0.0,7.75061,8.0911,8.33802,6.9014,0.00945750051293,0.0150269418955,0.0132560404018,90.0630569458,0.00468867768595,func,0.00365138107438,121,40,64,64,4.81761208674,2.5,3.5,3.75,3.75,145.498184204,1660.62915039,9.22313976288,953.185473633,499.642120361,2181.04783936,162.904571533,357.428344727
sub-4,0,task-objectviewing_run-08,25.6521512665,1.12211491425,1.00558030742,0.52031646234,60.3826370239,0.0575997655633,0,0.0,7.71112,8.11977,8.30142,6.8023,0.0220445522592,0.0146880466491,0.0132220778614,91.1049041748,0.00329330578512,func,0.00356907289256,121,40,64,64,4.81857377455,2.5,3.5,3.75,3.75,145.954025269,1661.50524902,7.82107410431,955.803701782,502.29460144,2182.02341309,164.039505005,357.875793457
sub-4,0,task-objectviewing_run-09,25.1689447882,1.15775238933,1.05579784975,0.521588267643,60.7079582214,0.0612627798409,0,0.0,7.8196,8.19079,8.40457,6.94563,0.031325320567,0.0147443246096,0.0133082708344,83.7227783203,0.00786198347107,func,0.00421584942149,121,40,64,64,4.84396105808,2.5,3.5,3.75,3.75,146.915512085,1656.96203613,12.9917354584,948.702453613,500.709069824,2171.06604004,162.379943848,355.607269287
sub-4,0,task-objectviewing_run-10,21.3736660558,1.093066245,1.00160059075,0.522631402181,61.3955917358,0.0523268924808,0,0.0,8.17489,8.44525,8.79744,7.3532,0.0147768860021,0.015965403989,0.0130912140012,100.732284546,0.00272570247934,func,0.00300800702479,121,40,64,64,4.87257840917,2.5,3.5,3.75,3.75,148.380645752,1651.68359375,12.074379921,943.919400024,497.458250427,2157.5739624,159.858947754,352.632720947
sub-4,0,task-objectviewing_run-11,23.7304387404,1.11852431758,1.00270969533,0.52339527908,61.4734916687,0.0600300101717,0,0.0,8.34431,8.63513,8.91539,7.54677,0.0143181056031,0.0163426063955,0.0125993024558,98.8238067627,0.00318504132231,func,0.00295663380165,121,40,64,64,4.86445420632,2.5,3.5,3.75,3.75,148.548965454,1648.25598145,12.603304863,940.080932617,494.985096741,2152.80986328,159.027770996,352.728302002
sub-4,0,task-objectviewing_run-12,23.6203064445,1.13324678717,0.998306645667,0.52539454074,61.6570968628,0.0715724044782,0,0.0,8.76091,8.93502,9.33974,8.05783,0.036507693204,0.0164250843227,0.0124498065561,95.2705841064,0.00299950413223,func,0.0032796822314,121,40,64,64,4.84655407938,2.5,3.5,3.75,3.75,148.054199219,1641.35888672,13.5371894836,925.392120361,493.456170654,2142.74959717,157.082489014,354.715698242
sub-5,0,task-objectviewing_run-01,25.9041036605,1.143679847,1.01164231267,0.501067477841,74.4010009766,0.0496833375421,0,0.0,9.10056,8.98031,10.2267,8.20687,0.0248299945485,0.0425328873098,0.0155092701316,113.009712219,0.00155710743802,func,0.0031348461157,121,40,64,64,5.43728917425,2.5,3.5,3.75,3.75,136.708068848,1824.23815918,4.56446247101,1061.48837891,508.752871704,2258.98747559,167.762588501,350.258636475
sub-5,0,task-objectviewing_run-02,29.4784609956,1.14376016617,1.014777563,0.500171683231,74.5600891113,0.0646156973758,0,0.0,8.70553,8.70537,9.65935,7.84605,0.0232262414349,0.041126023978,0.01494426094,105.630020142,0.00159512396694,func,0.0035162946281,121,40,64,64,5.41758523899,2.5,3.5,3.75,3.75,136.629623413,1827.31628418,4.57851219177,1066.75321045,506.054936218,2274.86933594,168.243881226,352.924865723
sub-5,0,task-objectviewing_run-03,29.6713129046,1.1241242195,1.007099453,0.500649420262,74.2706604004,0.0633139065583,0,0.0,8.67619,8.70128,9.53073,7.87551,0.0290315170919,0.0411842726171,0.0148099372163,102.060012817,0.0013779338843,func,0.00370050338843,121,40,64,64,5.38696058172,2.5,3.5,3.75,3.75,136.606826782,1821.82373047,3.29752063751,1062.05081177,505.29750061,2271.79321289,167.922988892,353.082702637
sub-5,0,task-objectviewing_run-04,35.0324378336,1.11965839367,0.989449050583,0.498786748191,74.7521896362,0.0574214672083,0,0.0,7.92315,8.20192,8.66757,6.99651,0.0119735761122,0.0402492918074,0.0145574528724,79.9044647217,0.00170305785124,func,0.00562876049587,121,40,64,64,5.32342970024,2.5,3.5,3.75,3.75,134.351425171,1827.23266602,5.67768573761,1070.6569519,502.467749023,2292.77886963,168.588882446,357.969848633
sub-5,0,task-objectviewing_run-05,36.2877739432,1.14276679983,1.00081929017,0.498640312497,73.7975158691,0.0631130753192,0,0.0,7.83891,8.12211,8.57583,6.91547,0.0192576971921,0.0396062135696,0.0140335392207,83.4284210205,0.00263256198347,func,0.00512789264463,121,40,64,64,5.31712461004,2.5,3.5,3.75,3.75,134.392318726,1823.04370117,7.56198310852,1065.18753662,504.876014709,2289.29658203,169.755096436,356.605895996
sub-5,0,task-objectviewing_run-06,34.8163800241,1.12724426658,1.00617982975,0.498062356183,73.4861602783,0.0561434555973,0,0.0,7.80979,8.08252,8.51524,6.92108,0.0438810064773,0.039814773947,0.0145522309467,84.9820632935,0.00166479338843,func,0.00487633826446,121,40,64,64,5.33278520558,2.5,3.5,3.75,3.75,133.954101562,1821.01611328,6.50371859074,1066.10528564,505.943791199,2285.91943359,170.335342407,355.698791504
sub-5,0,task-objectviewing_run-07,34.2061392149,1.14928624592,1.01725343383,0.499372541201,73.6627197266,0.0576012262672,0,0.0,7.9713,8.23335,8.7091,7.06378,0.0333653717987,0.0398930907249,0.0139811821282,85.2784347534,0.00289520661157,func,0.00485425165289,121,40,64,64,5.3029401839,2.5,3.5,3.75,3.75,134.357086182,1815.95446777,9.20991706848,1054.29133301,501.907415771,2282.35480957,169.033401489,357.139251709
sub-5,0,task-objectviewing_run-08,34.3868195536,1.15800092917,1.00715281217,0.499170042991,73.5938644409,0.05349425527,0,0.0,7.95241,8.21552,8.68881,7.04532,0.0284606898127,0.039955496788,0.0145573066548,90.7293548584,0.00136553719008,func,0.00443020099174,121,40,64,64,5.30602932813,2.5,3.5,3.75,3.75,134.774246216,1810.41394043,9.58388414383,1050.27354126,502.303707886,2274.73869629,168.892730713,355.413391113
sub-5,0,task-objectviewing_run-09,32.1149847662,1.19374026517,1.02507232042,0.502804109722,73.0300369263,0.124343652952,2,1.65289256198,8.82016,8.89519,9.70089,7.95174,0.0456755535662,0.0406250506639,0.0132982488722,76.9723739624,0.0103369421488,func,0.00648806471074,121,40,64,64,5.40759917202,2.5,3.5,3.75,3.75,136.15725708,1788.6986084,9.45454502106,1045.98754883,502.852880859,2231.96276855,165.701934814,346.060913086
sub-5,0,task-objectviewing_run-10,30.8800956884,1.14715354275,0.9780402305,0.503086682887,72.1733703613,0.0950466180558,0,0.0,8.72487,8.87486,9.53669,7.84724,0.0437143420385,0.0414300709963,0.0135773224756,85.1520843506,0.00248487603306,func,0.00516747702479,121,40,64,64,5.4132937921,2.5,3.5,3.75,3.75,136.514801025,1781.34069824,11.0285117149,1042.13222656,503.69130249,2224.89916992,166.487960815,344.951843262
sub-5,0,task-objectviewing_run-11,30.9246077063,1.17277040608,0.992393079333,0.504763786021,72.3611068726,0.0822898969548,0,0.0,8.9244,8.97602,9.60095,8.24782,0.0214627281693,0.0408753044903,0.0139044532552,96.9433898926,0.00148884297521,func,0.00391262239669,121,40,64,64,5.39529939589,2.5,3.5,3.75,3.75,138.505172729,1780.51220703,13.0495862961,1041.98510742,501.450384521,2222.00805664,165.36076355,344.576202393
sub-6,0,task-objectviewing_run-01,33.2014815169,1.36217932208,1.05463858717,0.558031665992,32.2755126953,0.062923181375,0,0.0,9.71539,9.81149,10.5692,8.84306,0.036022272977,0.0110177267343,-0.00859490036964,86.5204925537,0.00732090909091,func,0.00296195512397,121,40,64,64,3.77666476479,2.5,3.5,3.75,3.75,186.132293701,1620.67089844,2.85123944283,829.70737915,720.417730713,2316.64526367,232.140640259,444.724639893
